ParentNodePhylo	ParentNode	ChildNodePhylo	ChildNode	OGsWithGains	OGsWithLosses	TotalCopyGains	TotalCopyLosses
127->125	176	127	69	125	5654	633	17391	808
127->126	176	127	70	126	3346	1486	6943	1909
169->168	175	169	177	168	389	92	440	102
168->162	177	168	178	162	356	127	441	170
162->130	178	162	179	130	1360	824	1447	952
130->128	179	130	71	128	4113	1242	7699	1445
130->129	179	130	72	129	2164	2280	3153	3263
162->161	178	162	180	161	2852	1054	4185	1449
161->137	180	161	181	137	2094	510	2549	577
137->131	181	137	73	131	3228	1846	6177	2692
137->136	181	137	182	136	939	236	1090	255
136->132	182	136	74	132	2922	2286	4999	3461
136->135	182	136	183	135	1131	165	1383	168
135->133	183	135	75	133	4611	1532	8647	2085
135->134	183	135	76	134	3900	1016	6778	1367
161->160	180	161	184	160	0	0	0	0
160->156	184	160	185	156	68	18	72	18
156->138	185	156	77	138	5330	1029	13433	1220
156->155	185	156	186	155	0	0	0	0
155->141	186	155	187	141	155	6	160	6
141->139	187	141	78	139	4683	1386	8581	1778
141->140	187	141	79	140	3978	1722	8944	2342
155->154	186	155	188	154	2121	772	2973	967
154->142	188	154	80	142	2467	2267	4087	3293
154->153	188	154	189	153	179	19	257	19
153->145	189	153	190	145	1518	1253	2448	1653
145->143	190	145	81	143	2453	1609	4151	2175
145->144	190	145	82	144	3035	1331	5321	1720
153->152	189	153	191	152	2959	352	5116	395
152->146	191	152	83	146	2610	1628	5047	2203
152->151	191	152	192	151	204	1	229	1
151->147	192	151	84	147	4320	1485	7302	2087
151->150	192	151	193	150	1966	1062	3233	1394
150->148	193	150	85	148	1898	1146	2788	1477
150->149	193	150	86	149	3016	1017	4453	1274
160->159	184	160	194	159	2053	2074	3309	2791
159->157	194	159	87	157	1800	916	2668	1067
159->158	194	159	88	158	1636	1217	2906	1438
168->167	177	168	195	167	2338	956	3373	1088
167->163	195	167	89	163	3085	1955	5183	2711
167->166	195	167	196	166	0	0	0	0
166->164	196	166	90	164	2836	1972	4490	2840
166->165	196	166	91	165	3791	1276	7566	1701
187->186	170	187	197	186	2261	736	3898	1357
186->178	197	186	198	178	484	324	702	397
178->174	198	178	92	174	3669	1679	7559	2266
178->177	198	178	199	177	777	543	948	786
177->175	199	177	93	175	4070	1266	7738	1958
177->176	199	177	94	176	2623	1671	4423	2702
186->185	197	186	200	185	2283	434	3179	538
185->179	200	185	95	179	1786	1051	3331	1683
185->184	200	185	201	184	880	476	1347	585
184->180	201	184	96	180	1554	692	3327	1023
184->183	201	184	202	183	629	651	1153	951
183->181	202	183	97	181	1441	1107	2625	1310
183->182	202	183	98	182	1425	651	2701	963
193->192	162	193	203	192	3148	699	5158	1623
192->190	203	192	99	190	2172	1186	4728	1499
192->191	203	192	100	191	2405	715	3873	1114
199->198	161	199	204	198	2939	633	4151	1400
198->194	204	198	101	194	9167	431	29013	706
198->197	204	198	205	197	1137	886	1695	1684
197->195	205	197	102	195	2072	2583	3702	3290
197->196	205	197	103	196	3510	884	5334	1024
