sp	habitat
OG0022517	GPEL1	Marine
OG0022518	GPEL1	Marine
OG0022520	GPEL1	Marine
OG0022523	GTOL1	Marine
OG0022524	GTOL1	Marine
OG0022525	GTOL1	Marine
OG0022526	GTOL1	Marine
OG0022527	GTOL1	Marine
OG0022529	GTOL1	Marine
OG0022531	GTOL1	Marine
OG0022546	HBRA1	Marine
OG0022552	IPYG1	Marine
OG0022553	TLIN1	Marine
OG0022560	LGIG1	Marine
OG0022561	LGIG1	Marine
OG0022566	LMAX1	NonMarine
OG0022580	LRUG1	Marine
OG0022582	LSTA1	NonMarine
OG0022583	LSTA1	NonMarine
OG0022584	LSTA1	NonMarine
OG0022585	LSTA1	NonMarine
OG0022586	LSTA1	NonMarine
OG0022587	LSTA1	NonMarine
OG0022588	LSTA1	NonMarine
OG0022589	LSTA1	NonMarine
OG0022590	LSTA1	NonMarine
OG0022592	MACO1	NonMarine
OG0022593	MACO1	NonMarine
OG0022600	PELE1	NonMarine
OG0022604	MCOR1	Marine
OG0022606	MCOR1	Marine
OG0022607	MCOR1	Marine
OG0022608	MCOR1	Marine
OG0022610	MCOR1	Marine
OG0022611	MCOR1	Marine
OG0022612	MCOR1	Marine
OG0022613	MCOR1	Marine
OG0022614	MCOR1	Marine
OG0022616	MCOR1	Marine
OG0022617	MCOR1	Marine
OG0022618	MCOR1	Marine
OG0022619	MCOR1	Marine
OG0022622	MCOR1	Marine
OG0022623	MCOR1	Marine
OG0022624	MCOR1	Marine
OG0022625	MCOR1	Marine
OG0022626	MCOR1	Marine
OG0022628	MCOR1	Marine
OG0022629	MCOR1	Marine
OG0022631	MCOR1	Marine
OG0022632	MCOR1	Marine
OG0022633	MCOR1	Marine
OG0022634	MCOR1	Marine
OG0022635	MCOR1	Marine
OG0022636	MCOR1	Marine
OG0022637	MCOR1	Marine
OG0022638	MCOR1	Marine
OG0022640	MCOR1	Marine
OG0022642	MCOR1	Marine
OG0022645	MCOR1	Marine
OG0022647	MCOR1	Marine
OG0022648	MCOR1	Marine
OG0022649	MCOR1	Marine
OG0022650	MCOR1	Marine
OG0022653	MCOR1	Marine
OG0022654	MCOR1	Marine
OG0022655	MCOR1	Marine
OG0022656	MCOR1	Marine
OG0022657	MCOR1	Marine
OG0022658	MCOR1	Marine
OG0022661	MCOR1	Marine
OG0022662	MCOR1	Marine
OG0022663	MCOR1	Marine
OG0022664	MCOR1	Marine
OG0022665	MCOR1	Marine
OG0022666	MCOR1	Marine
OG0022669	MCOR1	Marine
OG0022672	MFRU1	NonMarine
OG0022673	MFRU1	NonMarine
OG0022676	MHON1	Marine
OG0022677	MHON1	Marine
OG0022678	MHON1	Marine
OG0022679	MHON1	Marine
OG0022681	MMAR1	NonMarine
OG0022683	MMAR1	NonMarine
OG0022689	NALB1	Marine
OG0022694	NMIR1	Marine
OG0022695	NMIR1	Marine
OG0022696	NMIR1	Marine
OG0022697	NMIR1	Marine
OG0022698	NMIR1	Marine
OG0022699	NMIR1	Marine
OG0022700	NMIR1	Marine
OG0022701	NMIR1	Marine
OG0022702	NMIR1	Marine
OG0022703	NMIR1	Marine
OG0022705	NPOM2	Marine
OG0022706	NTUM1	Marine
OG0022707	NTUM1	Marine
OG0022711	OFLO1	Marine
OG0022712	OSIN1	Marine
OG0022718	PFUC1	Marine
OG0022719	PFUC1	Marine
OG0022720	PFUC1	Marine
OG0022721	PFUC1	Marine
OG0022722	PFUC1	Marine
OG0022723	PFUC1	Marine
OG0022724	PHOY1	Marine
OG0022725	PSOL1	NonMarine
OG0022726	PSOL1	NonMarine
OG0022727	PSOL1	NonMarine
OG0022728	PULY1	Marine
OG0022740	SCON1	Marine
OG0022741	SGLO1	Marine
OG0022742	SGLO1	Marine
OG0022743	SIMA1	Marine
OG0022750	SVEN1	Marine
OG0022754	SSUL1	Marine
OG0022759	TLIM1	Marine
OG0022761	TLIN1	Marine
OG0022762	TLIN1	Marine
OG0022763	TLIN1	Marine
OG0022764	TLIN1	Marine
OG0022765	TLIN1	Marine
OG0022766	TLIN1	Marine
OG0022767	TLIN1	Marine
OG0022768	TLIN1	Marine
OG0022769	TLIN1	Marine
OG0022770	TLIN1	Marine
OG0022771	TLIN1	Marine
OG0022772	TLIN1	Marine
OG0022779	ABIP1	NonMarine
OG0022782	ABIP1	NonMarine
OG0022783	ABIP1	NonMarine
OG0022790	ABIP1	NonMarine
OG0022797	ABIP1	NonMarine
OG0022799	ABIP1	NonMarine
OG0022802	ABIP1	NonMarine
OG0022813	ABIP1	NonMarine
OG0022903	ACAL1	Marine
OG0022904	ACAL1	Marine
OG0022907	ACAL1	Marine
OG0022909	ACAL1	Marine
OG0023161	ACRI1	Marine
OG0023167	ACRI1	Marine
OG0023226	ADUX1	Marine
OG0023227	ADUX1	Marine
OG0023231	ADUX1	Marine
OG0023233	ADUX1	Marine
OG0023238	ADUX1	Marine
OG0023246	ADUX1	Marine
OG0023251	ADUX1	Marine
OG0023258	ADUX1	Marine
OG0023260	ADUX1	Marine
OG0023264	ADUX1	Marine
OG0023349	AENT2	Marine
OG0023350	AENT2	Marine
OG0023351	AENT2	Marine
OG0023352	AENT2	Marine
OG0023353	AENT2	Marine
OG0023355	AENT2	Marine
OG0023435	AIMM1	NonMarine
OG0023496	APUR1	Marine
OG0023549	CRAD1	Marine
OG0023553	ENTR1	Marine
OG0023559	FCAU1	Marine
OG0023568	MCOR1	Marine
OG0023572	PMAX1	Marine
OG0023594	MCOR1	Marine
OG0023606	MSWE1	Marine
OG0023613	LHYA1	Marine
OG0023614	PSOL1	NonMarine
OG0023618	NMIR1	Marine
OG0023619	MLAB1	Marine
OG0023622	NMIR1	Marine
OG0023623	NMIR1	Marine
OG0023625	MCOR1	Marine
OG0023626	BPLI1	Marine
OG0023660	BGLA1	NonMarine
OG0023661	BGLA1	NonMarine
OG0023663	BGLA1	NonMarine
OG0023667	BGLA1	NonMarine
OG0023670	BGLA1	NonMarine
OG0023672	BGLA1	NonMarine
OG0023673	BGLA1	NonMarine
OG0023688	BGON1	NonMarine
OG0023689	BGON1	NonMarine
OG0023690	BGON1	NonMarine
OG0023692	BGON1	NonMarine
OG0023702	BGON1	NonMarine
OG0023732	LFLA1	NonMarine
OG0023733	MBIL1	NonMarine
OG0023736	BPLA1	Marine
OG0023737	BPLA1	Marine
OG0023741	BPLA1	Marine
OG0023742	BPLA1	Marine
OG0023743	BPLA1	Marine
OG0023747	BPLA1	Marine
OG0023757	BPLA1	Marine
OG0023787	BPLI1	Marine
OG0023788	BPLI1	Marine
OG0023789	BPLI1	Marine
OG0023790	BPLI1	Marine
OG0023791	BPLI1	Marine
OG0023792	BPLI1	Marine
OG0023793	BPLI1	Marine
OG0023794	BPLI1	Marine
OG0023795	BPLI1	Marine
OG0023796	BPLI1	Marine
OG0023797	BPLI1	Marine
OG0023798	BPLI1	Marine
OG0023799	BPLI1	Marine
OG0023800	BPLI1	Marine
OG0023801	BPLI1	Marine
OG0023802	BPLI1	Marine
OG0023803	BPLI1	Marine
OG0023804	BPLI1	Marine
OG0023805	BPLI1	Marine
OG0023806	BPLI1	Marine
OG0023808	BPLI1	Marine
OG0023809	BPLI1	Marine
OG0023810	BPLI1	Marine
OG0023811	BPLI1	Marine
OG0023812	BPLI1	Marine
OG0023813	BPLI1	Marine
OG0023814	BPLI1	Marine
OG0023815	BPLI1	Marine
OG0023816	BPLI1	Marine
OG0023817	BPLI1	Marine
OG0023818	BPLI1	Marine
OG0023819	BPLI1	Marine
OG0023820	BPLI1	Marine
OG0023821	BPLI1	Marine
OG0023822	BPLI1	Marine
OG0023823	BPLI1	Marine
OG0023824	BPLI1	Marine
OG0023826	BPLI1	Marine
OG0023827	BPLI1	Marine
OG0023828	BPLI1	Marine
OG0023829	BPLI1	Marine
OG0023830	BPLI1	Marine
OG0023831	BPLI1	Marine
OG0023832	BPLI1	Marine
OG0023833	BPLI1	Marine
OG0023834	BPLI1	Marine
OG0023835	BPLI1	Marine
OG0023836	BPLI1	Marine
OG0023837	BPLI1	Marine
OG0023838	BPLI1	Marine
OG0023842	BPLI1	Marine
OG0023843	BPLI1	Marine
OG0023844	BPLI1	Marine
OG0023845	BPLI1	Marine
OG0023846	BPLI1	Marine
OG0023847	BPLI1	Marine
OG0023848	BPLI1	Marine
OG0023899	CASP1	NonMarine
OG0023906	CASP1	NonMarine
OG0023907	CASP1	NonMarine
OG0023941	TLIN1	Marine
OG0023944	GEBO1	Marine
OG0023946	TLIN1	Marine
OG0023948	CTEL1	Marine
OG0023993	CGIG1	Marine
OG0024082	CNIT1	Marine
OG0024098	COLI1	Marine
OG0024109	TLIM1	Marine
OG0024112	CPLI1	NonMarine
OG0024113	CPLI1	NonMarine
OG0024116	CPLI1	NonMarine
OG0024135	CPLI1	NonMarine
OG0024138	CRAD1	Marine
OG0024141	CRAD1	Marine
OG0024154	CRVI1	Marine
OG0024158	CRVI1	Marine
OG0024174	CSQU1	Marine
OG0024188	CTEL1	Marine
OG0024189	CTEL1	Marine
OG0024190	CTEL1	Marine
OG0024191	CTEL1	Marine
OG0024192	CTEL1	Marine
OG0024193	CTEL1	Marine
OG0024195	CTEL1	Marine
OG0024196	CTEL1	Marine
OG0024197	CTEL1	Marine
OG0024198	CTEL1	Marine
OG0024199	CTEL1	Marine
OG0024200	CTEL1	Marine
OG0024201	CTEL1	Marine
OG0024202	CTEL1	Marine
OG0024203	CTEL1	Marine
OG0024204	CTEL1	Marine
OG0024205	CTEL1	Marine
OG0024209	CTEL1	Marine
OG0024210	CTEL1	Marine
OG0024211	CTEL1	Marine
OG0024214	CTEL1	Marine
OG0024221	DRET1	NonMarine
OG0024226	DROS1	NonMarine
OG0024227	DROS1	NonMarine
OG0024230	DROS1	NonMarine
OG0024231	DROS1	NonMarine
OG0024232	DROS1	NonMarine
OG0024241	DROS1	NonMarine
OG0024242	DROS1	NonMarine
OG0024258	ECHI1	NonMarine
OG0024263	ECHI1	NonMarine
OG0024266	ECHL1	Marine
OG0024267	ECHL1	Marine
OG0024268	ECHL1	Marine
OG0024271	ENTR1	Marine
OG0024279	ENTR1	Marine
OG0024307	FSAG1	Marine
OG0024308	FSAG1	Marine
OG0024310	FSAG1	Marine
OG0024317	GAEG1	Marine
OG0024318	GAEG1	Marine
OG0024336	GPEL1	Marine
OG0024337	GPEL1	Marine
OG0024342	GTOL1	Marine
OG0024343	GTOL1	Marine
OG0024344	GTOL1	Marine
OG0024345	GTOL1	Marine
OG0024348	GTOL1	Marine
OG0024350	GTOL1	Marine
OG0024352	GTOL1	Marine
OG0024354	GTOL1	Marine
OG0024358	GTOL1	Marine
OG0024360	GTOL1	Marine
OG0024362	GTOL1	Marine
OG0024371	HBRA1	Marine
OG0024385	LRUG1	Marine
OG0024388	IPYG1	Marine
OG0024393	LFLA1	NonMarine
OG0024395	LFLA1	NonMarine
OG0024398	LGIG1	Marine
OG0024399	LGIG1	Marine
OG0024400	LGIG1	Marine
OG0024403	LGIG1	Marine
OG0024407	LHYA1	Marine
OG0024408	LHYA1	Marine
OG0024409	LHYA1	Marine
OG0024410	LHYA1	Marine
OG0024411	LHYA1	Marine
OG0024412	LHYA1	Marine
OG0024413	LMAX1	NonMarine
OG0024414	LMAX1	NonMarine
OG0024416	LNYA1	NonMarine
OG0024417	LNYA1	NonMarine
OG0024439	LSTA1	NonMarine
OG0024440	LSTA1	NonMarine
OG0024441	LSTA1	NonMarine
OG0024442	LSTA1	NonMarine
OG0024443	LSTA1	NonMarine
OG0024444	LSTA1	NonMarine
OG0024445	LSTA1	NonMarine
OG0024446	LSTA1	NonMarine
OG0024447	LSTA1	NonMarine
OG0024448	LSTA1	NonMarine
OG0024449	LSTA1	NonMarine
OG0024451	LSTA1	NonMarine
OG0024452	LSTA1	NonMarine
OG0024453	LSTA1	NonMarine
OG0024454	LSTA1	NonMarine
OG0024455	LSTA1	NonMarine
OG0024456	LSTA1	NonMarine
OG0024457	LSTA1	NonMarine
OG0024460	MACO1	NonMarine
OG0024464	MACO1	NonMarine
OG0024473	NMIR1	Marine
OG0024474	MCOR1	Marine
OG0024475	MCOR1	Marine
OG0024477	MCOR1	Marine
OG0024478	MCOR1	Marine
OG0024479	MCOR1	Marine
OG0024480	MCOR1	Marine
OG0024482	MCOR1	Marine
OG0024483	MCOR1	Marine
OG0024485	MCOR1	Marine
OG0024486	MCOR1	Marine
OG0024487	MCOR1	Marine
OG0024488	MCOR1	Marine
OG0024490	MCOR1	Marine
OG0024492	MCOR1	Marine
OG0024493	MCOR1	Marine
OG0024494	MCOR1	Marine
OG0024495	MCOR1	Marine
OG0024497	MCOR1	Marine
OG0024499	MCOR1	Marine
OG0024500	MCOR1	Marine
OG0024501	MCOR1	Marine
OG0024502	MCOR1	Marine
OG0024503	MCOR1	Marine
OG0024505	MCOR1	Marine
OG0024506	MCOR1	Marine
OG0024507	MCOR1	Marine
OG0024508	MCOR1	Marine
OG0024509	MCOR1	Marine
OG0024510	MCOR1	Marine
OG0024511	MCOR1	Marine
OG0024513	MCOR1	Marine
OG0024514	MCOR1	Marine
OG0024515	MCOR1	Marine
OG0024516	MCOR1	Marine
OG0024517	MCOR1	Marine
OG0024518	MCOR1	Marine
OG0024519	MCOR1	Marine
OG0024520	MCOR1	Marine
OG0024522	MCOR1	Marine
OG0024523	MCOR1	Marine
OG0024526	MCOR1	Marine
OG0024527	MCOR1	Marine
OG0024528	MCOR1	Marine
OG0024529	MCOR1	Marine
OG0024530	MCOR1	Marine
OG0024531	MCOR1	Marine
OG0024532	MCOR1	Marine
OG0024533	MCOR1	Marine
OG0024534	MCOR1	Marine
OG0024535	MCOR1	Marine
OG0024536	MCOR1	Marine
OG0024537	MCOR1	Marine
OG0024538	MCOR1	Marine
OG0024539	MCOR1	Marine
OG0024540	MCOR1	Marine
OG0024541	MCOR1	Marine
OG0024542	MCOR1	Marine
OG0024544	MCOR1	Marine
OG0024546	MCOR1	Marine
OG0024547	MCOR1	Marine
OG0024548	MCOR1	Marine
OG0024550	MCOR1	Marine
OG0024551	MCOR1	Marine
OG0024552	MCOR1	Marine
OG0024553	MCOR1	Marine
OG0024555	MCOR1	Marine
OG0024556	MCOR1	Marine
OG0024560	MCOR1	Marine
OG0024561	MCOR1	Marine
OG0024562	MCOR1	Marine
OG0024565	MCOR1	Marine
OG0024566	MCOR1	Marine
OG0024567	MCOR1	Marine
OG0024568	MCOR1	Marine
OG0024569	MCOR1	Marine
OG0024571	MFOD1	Marine
OG0024572	MFOD1	Marine
OG0024573	MFOD1	Marine
OG0024577	MFRU1	NonMarine
OG0024578	MFRU1	NonMarine
OG0024579	MFRU1	NonMarine
OG0024580	MFRU1	NonMarine
OG0024581	MFRU1	NonMarine
OG0024582	MFRU1	NonMarine
OG0024583	MFRU1	NonMarine
OG0024584	MFRU1	NonMarine
OG0024585	MFRU1	NonMarine
OG0024586	MFRU1	NonMarine
OG0024587	MFRU1	NonMarine
OG0024588	MFRU1	NonMarine
OG0024589	MFRU1	NonMarine
OG0024590	MFRU1	NonMarine
OG0024591	MFRU1	NonMarine
OG0024592	MHON1	Marine
OG0024594	MHON1	Marine
OG0024595	MHON1	Marine
OG0024597	MHON1	Marine
OG0024598	MHON1	Marine
OG0024600	MHON1	Marine
OG0024601	MHON1	Marine
OG0024602	MHON1	Marine
OG0024604	MLAB1	Marine
OG0024607	MMAR1	NonMarine
OG0024608	MMAR1	NonMarine
OG0024610	MMAR1	NonMarine
OG0024611	MMAR1	NonMarine
OG0024612	MMAR1	NonMarine
OG0024613	MMAR1	NonMarine
OG0024616	MMAR1	NonMarine
OG0024618	MMAR1	NonMarine
OG0024619	MMAR1	NonMarine
OG0024620	MMAR1	NonMarine
OG0024621	MMAR1	NonMarine
OG0024622	MMAR1	NonMarine
OG0024623	MMAR1	NonMarine
OG0024624	MSCH1	Marine
OG0024625	MSWE1	Marine
OG0024626	MSWE1	Marine
OG0024627	MSWE1	Marine
OG0024629	MYES1	Marine
OG0024630	NALB1	Marine
OG0024631	NALB1	Marine
OG0024632	NALB1	Marine
OG0024634	NMIR1	Marine
OG0024635	NMIR1	Marine
OG0024636	NMIR1	Marine
OG0024637	NMIR1	Marine
OG0024638	NMIR1	Marine
OG0024639	NMIR1	Marine
OG0024640	NMIR1	Marine
OG0024641	NMIR1	Marine
OG0024642	NMIR1	Marine
OG0024643	NMIR1	Marine
OG0024644	NMIR1	Marine
OG0024645	NMIR1	Marine
OG0024646	NMIR1	Marine
OG0024647	NMIR1	Marine
OG0024649	NTUM1	Marine
OG0024660	PBUC1	Marine
OG0024661	PELE1	NonMarine
OG0024662	PELE1	NonMarine
OG0024663	PFUC1	Marine
OG0024664	PFUC1	Marine
OG0024665	PFUC1	Marine
OG0024666	PFUC1	Marine
OG0024668	PMAC1	NonMarine
OG0024669	PMAC1	NonMarine
OG0024670	PQUE1	NonMarine
OG0024672	PSAC1	Marine
OG0024673	PSOL1	NonMarine
OG0024687	SBRO1	Marine
OG0024689	SCON1	Marine
OG0024690	SCON1	Marine
OG0024691	SGLO1	Marine
OG0024706	SSUL1	Marine
OG0024707	SSUL1	Marine
OG0024708	SSUL1	Marine
OG0024709	SSUL1	Marine
OG0024710	SSUL1	Marine
OG0024711	SVEN1	Marine
OG0024712	SVEN1	Marine
OG0024713	SVEN1	Marine
OG0024714	SVEN1	Marine
OG0024720	TLIN1	Marine
OG0024721	TLIN1	Marine
OG0024722	TLIN1	Marine
OG0024723	TLIN1	Marine
OG0024724	TLIN1	Marine
OG0024725	TLIN1	Marine
OG0024726	TLIN1	Marine
OG0024727	TLIN1	Marine
OG0024728	TLIN1	Marine
OG0024729	TLIN1	Marine
OG0024730	TLIN1	Marine
OG0024731	TLIN1	Marine
OG0024732	TLIN1	Marine
OG0024733	TLIN1	Marine
OG0024734	TLIN1	Marine
OG0024735	TLIN1	Marine
OG0024736	TLIN1	Marine
OG0024737	TLIN1	Marine
OG0024738	TLIN1	Marine
OG0024739	TLIN1	Marine
OG0024740	TLIN1	Marine
OG0024741	TLIN1	Marine
OG0024742	TLIN1	Marine
OG0024747	VINF1	Marine
OG0024750	ABIP1	NonMarine
OG0024751	ABIP1	NonMarine
OG0024752	ABIP1	NonMarine
OG0024754	ABIP1	NonMarine
OG0024755	ABIP1	NonMarine
OG0024758	ABIP1	NonMarine
OG0024759	ABIP1	NonMarine
OG0024760	ABIP1	NonMarine
OG0024773	ABIP1	NonMarine
OG0024778	ABIP1	NonMarine
OG0024781	ABIP1	NonMarine
OG0024902	ACAL1	Marine
OG0025116	ACRA1	Marine
OG0025140	GTOL1	Marine
OG0025141	ACRI1	Marine
OG0025226	ADUX1	Marine
OG0025228	ADUX1	Marine
OG0025236	ADUX1	Marine
OG0025246	ADUX1	Marine
OG0025252	ADUX1	Marine
OG0025278	ADUX1	Marine
OG0025301	ADUX1	Marine
OG0025351	AENT2	Marine
OG0025352	AENT2	Marine
OG0025363	AENT2	Marine
OG0025375	AENT2	Marine
OG0025414	AFUL1	NonMarine
OG0025424	AGEM1	Marine
OG0025443	AGEM1	Marine
OG0025465	AIMM1	NonMarine
OG0025466	AIMM1	NonMarine
OG0025469	AIMM1	NonMarine
OG0025505	APUR1	Marine
OG0025518	APUR1	Marine
OG0025575	PPAC1	NonMarine
OG0025580	FSAG1	Marine
OG0025601	FSAG1	Marine
OG0025606	GAEG1	Marine
OG0025615	TLIN1	Marine
OG0025628	PSAC1	Marine
OG0025636	CTEL1	Marine
OG0025643	NMIR1	Marine
OG0025657	GTOL1	Marine
OG0025662	LRUG1	Marine
OG0025671	TLIN1	Marine
OG0025673	MCOR1	Marine
OG0025676	BGLA1	NonMarine
OG0025677	LHYA1	Marine
OG0025721	BGLA1	NonMarine
OG0025722	BGLA1	NonMarine
OG0025725	BGLA1	NonMarine
OG0025727	BGLA1	NonMarine
OG0025731	BGLA1	NonMarine
OG0025758	BGON1	NonMarine
OG0025764	BGON1	NonMarine
OG0025793	BGON1	NonMarine
OG0025796	MBIL1	NonMarine
OG0025803	MBIL1	NonMarine
OG0025806	CTEL1	Marine
OG0025815	CTEL1	Marine
OG0025817	CTEL1	Marine
OG0025820	BPLA1	Marine
OG0025823	BPLA1	Marine
OG0025824	BPLA1	Marine
OG0025825	BPLA1	Marine
OG0025827	BPLA1	Marine
OG0025828	BPLA1	Marine
OG0025830	BPLA1	Marine
OG0025831	BPLA1	Marine
OG0025834	BPLA1	Marine
OG0025853	BPLA1	Marine
OG0025863	BPLA1	Marine
OG0025876	BPLI1	Marine
OG0025877	BPLI1	Marine
OG0025878	BPLI1	Marine
OG0025879	BPLI1	Marine
OG0025880	BPLI1	Marine
OG0025881	BPLI1	Marine
OG0025882	BPLI1	Marine
OG0025883	BPLI1	Marine
OG0025884	BPLI1	Marine
OG0025885	BPLI1	Marine
OG0025886	BPLI1	Marine
OG0025887	BPLI1	Marine
OG0025888	BPLI1	Marine
OG0025889	BPLI1	Marine
OG0025890	BPLI1	Marine
OG0025891	BPLI1	Marine
OG0025892	BPLI1	Marine
OG0025893	BPLI1	Marine
OG0025894	BPLI1	Marine
OG0025895	BPLI1	Marine
OG0025896	BPLI1	Marine
OG0025897	BPLI1	Marine
OG0025898	BPLI1	Marine
OG0025899	BPLI1	Marine
OG0025900	BPLI1	Marine
OG0025901	BPLI1	Marine
OG0025902	BPLI1	Marine
OG0025903	BPLI1	Marine
OG0025904	BPLI1	Marine
OG0025905	BPLI1	Marine
OG0025906	BPLI1	Marine
OG0025907	BPLI1	Marine
OG0025909	BPLI1	Marine
OG0025910	BPLI1	Marine
OG0025911	BPLI1	Marine
OG0025912	BPLI1	Marine
OG0025913	BPLI1	Marine
OG0025914	BPLI1	Marine
OG0025915	BPLI1	Marine
OG0025916	BPLI1	Marine
OG0025917	BPLI1	Marine
OG0025918	BPLI1	Marine
OG0025919	BPLI1	Marine
OG0025920	BPLI1	Marine
OG0025921	BPLI1	Marine
OG0025922	BPLI1	Marine
OG0025923	BPLI1	Marine
OG0025924	BPLI1	Marine
OG0025925	BPLI1	Marine
OG0025926	BPLI1	Marine
OG0025927	BPLI1	Marine
OG0025929	BPLI1	Marine
OG0025930	BPLI1	Marine
OG0025931	BPLI1	Marine
OG0025932	BPLI1	Marine
OG0025933	BPLI1	Marine
OG0025935	BPLI1	Marine
OG0025936	BPLI1	Marine
OG0025937	BPLI1	Marine
OG0025939	BPLI1	Marine
OG0025940	BPLI1	Marine
OG0025941	BPLI1	Marine
OG0025942	BPLI1	Marine
OG0025943	BPLI1	Marine
OG0025944	BPLI1	Marine
OG0025947	BPLI1	Marine
OG0025966	BSIM1	NonMarine
OG0026014	CASP1	NonMarine
OG0026016	CASP1	NonMarine
OG0026090	TLIN1	Marine
OG0026225	CLAR1	Marine
OG0026279	COLI1	Marine
OG0026295	CPLI1	NonMarine
OG0026296	CPLI1	NonMarine
OG0026297	CPLI1	NonMarine
OG0026299	CPLI1	NonMarine
OG0026306	CPLI1	NonMarine
OG0026328	CRAD1	Marine
OG0026347	CRAD1	Marine
OG0026358	CRVI1	Marine
OG0026360	CRVI1	Marine
OG0026361	CRVI1	Marine
OG0026362	CRVI1	Marine
OG0026363	CRVI1	Marine
OG0026365	CRVI1	Marine
OG0026366	CRVI1	Marine
OG0026370	CRVI1	Marine
OG0026371	CRVI1	Marine
OG0026372	CRVI1	Marine
OG0026379	CSQU1	Marine
OG0026382	CSQU1	Marine
OG0026384	CSQU1	Marine
OG0026385	CSQU1	Marine
OG0026389	CSQU1	Marine
OG0026395	CTEL1	Marine
OG0026396	CTEL1	Marine
OG0026397	CTEL1	Marine
OG0026398	CTEL1	Marine
OG0026399	CTEL1	Marine
OG0026400	CTEL1	Marine
OG0026401	CTEL1	Marine
OG0026402	CTEL1	Marine
OG0026403	CTEL1	Marine
OG0026404	CTEL1	Marine
OG0026405	CTEL1	Marine
OG0026406	CTEL1	Marine
OG0026407	CTEL1	Marine
OG0026409	CTEL1	Marine
OG0026410	CTEL1	Marine
OG0026412	CTEL1	Marine
OG0026413	CTEL1	Marine
OG0026414	CTEL1	Marine
OG0026415	CTEL1	Marine
OG0026416	CTEL1	Marine
OG0026417	CTEL1	Marine
OG0026419	CTEL1	Marine
OG0026420	CTEL1	Marine
OG0026436	DROS1	NonMarine
OG0026438	DROS1	NonMarine
OG0026439	DROS1	NonMarine
OG0026440	DROS1	NonMarine
OG0026441	DROS1	NonMarine
OG0026443	DROS1	NonMarine
OG0026444	DROS1	NonMarine
OG0026446	DROS1	NonMarine
OG0026448	DROS1	NonMarine
OG0026450	DROS1	NonMarine
OG0026451	DROS1	NonMarine
OG0026452	DROS1	NonMarine
OG0026456	DROS1	NonMarine
OG0026464	ECHI1	NonMarine
OG0026466	ECHI1	NonMarine
OG0026467	ECHI1	NonMarine
OG0026469	ECHI1	NonMarine
OG0026470	ECHI1	NonMarine
OG0026471	ECHI1	NonMarine
OG0026473	ECHI1	NonMarine
OG0026475	ECHI1	NonMarine
OG0026476	ECHI1	NonMarine
OG0026483	ECHL1	Marine
OG0026484	ECHL1	Marine
OG0026527	FKUR1	NonMarine
OG0026530	FSAG1	Marine
OG0026531	FSAG1	Marine
OG0026533	FSAG1	Marine
OG0026534	FSAG1	Marine
OG0026538	FSAG1	Marine
OG0026546	GAEG1	Marine
OG0026547	GAEG1	Marine
OG0026548	GAEG1	Marine
OG0026549	GAEG1	Marine
OG0026550	GAEG1	Marine
OG0026552	GAEG1	Marine
OG0026557	GEBO1	Marine
OG0026575	GPEL1	Marine
OG0026577	GPEL1	Marine
OG0026578	GPEL1	Marine
OG0026586	GTOL1	Marine
OG0026587	GTOL1	Marine
OG0026588	GTOL1	Marine
OG0026589	GTOL1	Marine
OG0026593	GTOL1	Marine
OG0026594	GTOL1	Marine
OG0026595	GTOL1	Marine
OG0026599	GTOL1	Marine
OG0026601	GTOL1	Marine
OG0026603	GTOL1	Marine
OG0026630	HBRA1	Marine
OG0026633	HBRA1	Marine
OG0026634	HBRA1	Marine
OG0026640	HLUC1	NonMarine
OG0026652	MBIL1	NonMarine
OG0026661	IPYG1	Marine
OG0026671	LGIG1	Marine
OG0026676	LHYA1	Marine
OG0026677	LHYA1	Marine
OG0026679	LHYA1	Marine
OG0026680	LHYA1	Marine
OG0026681	LHYA1	Marine
OG0026684	LMAX1	NonMarine
OG0026685	LMAX1	NonMarine
OG0026686	LMAX1	NonMarine
OG0026688	LMAX1	NonMarine
OG0026689	LNYA1	NonMarine
OG0026690	LNYA1	NonMarine
OG0026691	LNYA1	NonMarine
OG0026693	LNYA1	NonMarine
OG0026700	LNYA1	NonMarine
OG0026710	LRUG1	Marine
OG0026719	LSTA1	NonMarine
OG0026720	LSTA1	NonMarine
OG0026721	LSTA1	NonMarine
OG0026722	LSTA1	NonMarine
OG0026723	LSTA1	NonMarine
OG0026724	LSTA1	NonMarine
OG0026725	LSTA1	NonMarine
OG0026727	LSTA1	NonMarine
OG0026728	LSTA1	NonMarine
OG0026729	LSTA1	NonMarine
OG0026730	LSTA1	NonMarine
OG0026732	LSTA1	NonMarine
OG0026733	LSTA1	NonMarine
OG0026734	LSTA1	NonMarine
OG0026735	LSTA1	NonMarine
OG0026736	LSTA1	NonMarine
OG0026737	LSTA1	NonMarine
OG0026739	LSTA1	NonMarine
OG0026740	LSTA1	NonMarine
OG0026747	MACO1	NonMarine
OG0026750	MACO1	NonMarine
OG0026751	MACO1	NonMarine
OG0026753	MACO1	NonMarine
OG0026754	MACO1	NonMarine
OG0026758	MARE1	Marine
OG0026763	TLIN1	Marine
OG0026765	MCOR1	Marine
OG0026766	MCOR1	Marine
OG0026768	MCOR1	Marine
OG0026769	MCOR1	Marine
OG0026770	MCOR1	Marine
OG0026771	MCOR1	Marine
OG0026773	MCOR1	Marine
OG0026774	MCOR1	Marine
OG0026775	MCOR1	Marine
