sp	habitat
OG0010703	BPLI1	Marine
OG0010707	TLIN1	Marine
OG0010717	DROS1	NonMarine
OG0010718	ENTR1	Marine
OG0010721	LGIG1	Marine
OG0010722	LMAX1	NonMarine
OG0010723	MCOR1	Marine
OG0010778	SSUL1	Marine
OG0010797	CTEL1	Marine
OG0010798	CTEL1	Marine
OG0010799	CTEL1	Marine
OG0010801	DROS1	NonMarine
OG0010803	MCOR1	Marine
OG0010804	MMAR1	NonMarine
OG0010871	GPEL1	Marine
OG0010873	MBIL1	NonMarine
OG0010877	BPLI1	Marine
OG0010878	BPLI1	Marine
OG0010879	BPLI1	Marine
OG0010880	BPLI1	Marine
OG0010881	BPLI1	Marine
OG0010882	BPLI1	Marine
OG0010900	CTEL1	Marine
OG0010903	MMAR1	NonMarine
OG0010904	MMAR1	NonMarine
OG0010905	PFUC1	Marine
OG0010986	BPLI1	Marine
OG0010987	BPLI1	Marine
OG0010988	BPLI1	Marine
OG0010994	CTEL1	Marine
OG0010996	GTOL1	Marine
OG0010999	MCOR1	Marine
OG0011000	MMAR1	NonMarine
OG0011001	MMAR1	NonMarine
OG0011002	PFUC1	Marine
OG0011004	TLIM1	Marine
OG0011005	TLIN1	Marine
OG0011073	AIMM1	NonMarine
OG0011086	BPLA1	Marine
OG0011088	BPLI1	Marine
OG0011089	BPLI1	Marine
OG0011091	BPLI1	Marine
OG0011094	NALB1	Marine
OG0011098	VINF1	Marine
OG0011103	CPLI1	NonMarine
OG0011106	GTOL1	Marine
OG0011107	MBIL1	NonMarine
OG0011108	LMAX1	NonMarine
OG0011109	MCOR1	Marine
OG0011110	MCOR1	Marine
OG0011112	MCOR1	Marine
OG0011116	MFRU1	NonMarine
OG0011117	MHON1	Marine
OG0011118	PELE1	NonMarine
OG0011119	SGLO1	Marine
OG0011185	ADUX1	Marine
OG0011210	BPLI1	Marine
OG0011211	BPLI1	Marine
OG0011212	BPLI1	Marine
OG0011213	BPLI1	Marine
OG0011221	CPLI1	NonMarine
OG0011225	CTEL1	Marine
OG0011226	CTEL1	Marine
OG0011227	CTEL1	Marine
OG0011230	MBIL1	NonMarine
OG0011234	LSTA1	NonMarine
OG0011237	MCOR1	Marine
OG0011238	MCOR1	Marine
OG0011239	MCOR1	Marine
OG0011240	MCOR1	Marine
OG0011241	MCOR1	Marine
OG0011242	MCOR1	Marine
OG0011243	MCOR1	Marine
OG0011244	MFRU1	NonMarine
OG0011245	MMAR1	NonMarine
OG0011289	ACAL1	Marine
OG0011318	ADUX1	Marine
OG0011347	BGON1	NonMarine
OG0011353	BPLI1	Marine
OG0011354	BPLI1	Marine
OG0011360	CGIG1	Marine
OG0011365	CTEL1	Marine
OG0011366	CTEL1	Marine
OG0011368	MBIL1	NonMarine
OG0011370	LGIG1	Marine
OG0011371	LSTA1	NonMarine
OG0011372	MCOR1	Marine
OG0011373	MCOR1	Marine
OG0011375	PFUC1	Marine
OG0011378	TLIN1	Marine
OG0011459	PPAC1	NonMarine
OG0011472	BPLA1	Marine
OG0011474	BPLA1	Marine
OG0011477	BPLI1	Marine
OG0011479	BPLI1	Marine
OG0011480	BPLI1	Marine
OG0011481	BPLI1	Marine
OG0011482	BPLI1	Marine
OG0011503	LHYA1	Marine
OG0011504	MCOR1	Marine
OG0011505	LSTA1	NonMarine
OG0011506	LSTA1	NonMarine
OG0011508	MCOR1	Marine
OG0011509	MCOR1	Marine
OG0011511	PFUC1	Marine
OG0011514	TLIN1	Marine
OG0011517	ABIP1	NonMarine
OG0011551	ACAL1	Marine
OG0011593	ADUX1	Marine
OG0011595	ADUX1	Marine
OG0011616	SCON1	Marine
OG0011620	BGLA1	NonMarine
OG0011621	BGON1	NonMarine
OG0011622	CPLI1	NonMarine
OG0011623	LFLA1	NonMarine
OG0011627	BPLI1	Marine
OG0011628	BPLI1	Marine
OG0011630	BPLI1	Marine
OG0011631	BPLI1	Marine
OG0011635	TLIN1	Marine
OG0011647	CTEL1	Marine
OG0011648	TLIN1	Marine
OG0011649	LRUG1	Marine
OG0011651	MCOR1	Marine
OG0011653	MFRU1	NonMarine
OG0011654	MMAR1	NonMarine
OG0011655	MMAR1	NonMarine
OG0011658	SGLO1	Marine
OG0011724	ADUX1	Marine
OG0011761	BPLI1	Marine
OG0011762	BPLI1	Marine
OG0011763	BPLI1	Marine
OG0011765	BPLI1	Marine
OG0011766	BPLI1	Marine
OG0011780	COLI1	Marine
OG0011781	SVEN1	Marine
OG0011787	GAEG1	Marine
OG0011788	GAEG1	Marine
OG0011796	MACO1	NonMarine
OG0011797	NMIR1	Marine
OG0011798	MCOR1	Marine
OG0011799	MCOR1	Marine
OG0011800	MCOR1	Marine
